Dressnummer,Name,Position,Nationalitaet,Groesse
1,Nicole Leonie HOLZINGER,Aufspiel,AUT,175 cm
2,Carmen RAAB,Diagonal,AUT,179 cm
3,Tamina HUBER,Libero,AUT,173 cm
10,Julia TRUNNER,Diagonal,AUT,185 cm
11,Monika CHRTIANSKA,Außenangriff,AUT,183 cm
13,Lina HINTEREGGER,Außenangriff,AUT,180 cm
14,Kora Marina SCHABERL,Außenangriff,AUT,183 cm
15,Anna OBERHAUSER,Libero,AUT,166 cm
17,Dana SCHMIT,Aufspiel,AUT,175 cm
18,Nina NESIMOVIC,Mittelblock,AUT,188 cm
19,Eva STABENTHEINER,Libero,AUT,171 cm
21,Verena JANKA,Mittelblock,AUT,174 cm
22,Jana GAERTNER,Mittelblock,AUT,185 cm
27,Lelia FITZ,Mittelblock,AUT,186 cm
28,Ursula EHRHART,Diagonal,AUT,185 cm
