Dressnumber,Name,Position,Nationality,Height
1,Nicole Leonie HOLZINGER,Aufspiel,AUT,175
2,Carmen RAAB,Diagonal,AUT,179
3,Tamina HUBER,Libero,AUT,173
10,Julia TRUNNER,Diagonal,AUT,185
11,Monika CHRTIANSKA,Außenangriff,AUT,183
13,Lina HINTEREGGER,Außenangriff,AUT,180
14,Kora Marina SCHABERL,Außenangriff,AUT,183
15,Anna OBERHAUSER,Libero,AUT,166
17,Dana SCHMIT,Aufspiel,AUT,175
18,Nina NESIMOVIĆ,Mittelblock,AUT,188
19,Eva STABENTHEINER,Libero,AUT,171
21,Verena JANKA,Mittelblock,AUT,174
22,Jana GÄRTNER,Mittelblock,AUT,185
27,Lelia FITZ,Mittelblock,AUT,186
28,Ursula EHRHART,Diagonal,AUT,185
